name,code,cost,supertype,cardtype,subtype,rarity,rulestext,flavourtext,power,toughness,artist,art_url,image_url,frame,active
Gateway Guardian,UW07,2ww,,Artifact Creature,Angel,uncommon,"Flash
Flying
When Gateway Guardian enters, exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.",,2,3,,,https://www.planesculptors.net/upload/5734/16049/Gateway%20Guardian.jpg,White,
Griffin Fledgling,CW11,3w,,Artifact Creature,Griffin,common,"Flying
When Griffin Fledgling enters, you may sacrifice a Scrap. When you do, put a +1/+1 counter on target creature.",,2,3,,,https://www.planesculptors.net/upload/5734/16049/Griffin%20Fledgling.jpg,White,
Heavy Infantry,UW05,2W,,Artifact Creature,Soldier,uncommon,"Whenever Heavy Infantry attacks, it gets +1/+1 until end of turn for each attacking creature.","Through the mists, the legions of Kosmen came barreling down with only a single thought: assimilation.",1,1,,,https://www.planesculptors.net/upload/5734/16049/Heavy%20Infantry.jpg,White,FALSE
Impedance,UW10,2W,,Enchantment,,uncommon,"Creatures can&#39;t attack you or a planeswalker you control unless their controller pays {1} for each of those creatures.
Whenever a creature attacks you or a planeswalker you control, put a stun counter on it unless its controller pays {1}.",,,,,,https://www.planesculptors.net/upload/5734/16049/Impedance.jpg,White,FALSE
Incremental Advancement,UW09,ww,,Enchantment,Aura,uncommon,"Enchant creature
When Incremental Advancement enters, put a +1/+1 counter on enchanted creature.
Whenever enchanted creature attacks, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,,,,,https://www.planesculptors.net/upload/5734/16049/Incremental%20Advancement.jpg,White,
Kosmen Decommissioner,RW01,ww,,Artifact Creature,Warrior,rare,"Vigilance
Tapped artifacts lose all abilities.","“This device is not authorized.”
",2,2,,,https://www.planesculptors.net/upload/5734/16049/Kosmen%20Decommissioner.jpg,White,
Kosmen&#39;s Induction,CW15,4w,,Enchantment,Aura,common,"Enchant creature
When Kosmen&#39;s Induction enters, create a 2/2 white Drone artifact creature token with vigilance.
Enchanted creature gets +2/+2 and has vigilance.",,,,,,https://www.planesculptors.net/upload/5734/16049/Kosmens%20Induction.jpg,White,
"Kosmen, the World Mind",MW01,5W,Legendary,Artifact Creature,Construct,mythic,"Ward {4}
Kosmen, the World Mind&#39;s power and toughness are each equal to the number of artifacts you control.
{U}, {T}: Gain control of target artifact with mana value less than Kosmen&#39;s power for as long as you control Kosmen. If it&#39;s not a creature, you may have it become an artifact creature with power and toughness each equal to its mana value for as long as you control it.",,*,*,,,https://www.planesculptors.net/upload/5734/16049/Kosmen%20the%20World%20Mind.jpg,White,FALSE
Kosmengeve Armorer,UW01,w,,Artifact Creature,Artificer,uncommon,"When Kosmengeve Armorer enters, you may sacrifice a Scrap. When you do, choose one —
• Tap target artifact you don’t control.
• Put a +1/+1 counter on Kosmengeve Armorer.",,2,1,,,https://www.planesculptors.net/upload/5734/16049/Kosmengeve%20Armorer.jpg,White,
Kosmengeve Cavalry,CW13,4w,,Artifact Creature,Centaur Warrior,common,"When Kosmengeve Cavalry enters, creatures you control get +1/+1 and gain vigilance until end of turn.","Like the Association of Artina, Kosmen continuously seeks to improve on nature. Unlike the Association, this is purely a practical concern.",4,4,,,https://www.planesculptors.net/upload/5734/16049/Kosmengeve%20Cavalry.jpg,White,
Kosmengeve Enforcer,UW08,3WW,,Artifact Creature,Warrior,uncommon,"Vigilance
Other artifact creatures you control get +1/+1 and have vigilance.","The ranks of Kosmen’s army always march in lockstep.
",3,4,,,https://www.planesculptors.net/upload/5734/16049/Kosmengeve%20Enforcer.jpg,White,FALSE
Kosmengeve Footsoldier,CW03,w,,Artifact Creature,Soldier,common,"Clockwork 1 (This creature enters with 1 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
When Kosmengeve Footsoldier dies, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Kosmengeve%20Footsoldier.jpg,White,FALSE
Kosmengeve Vanguard,UW03,1w,,Artifact Creature,Warrior,uncommon,"Double strike
Equip abilities you activate targeting Kosmengeve Vanguard cost {1} less to activate.",Kosmen makes no distinction between tool and wielder.,1,1,,,https://www.planesculptors.net/upload/5734/16049/Kosmengeve%20Vanguard.jpg,White,
Level the Playing Field,UW12,2w,,Sorcery,,uncommon,"For each player, destroy up to one target tapped artifact or tapped creature that player controls. Then if you destroyed a permanent you control this way, draw a card.",,,,,,https://www.planesculptors.net/upload/5734/16049/Level%20the%20Playing%20Field.jpg,White,
Mechanical Cuckoo,UW06,1ww,,Artifact Creature,Shapeshifter,uncommon,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
As this creature enters, choose a nonland card name. This creature has the chosen name.
Spells that share a name with this creature cost {X} more to cast, where X is this creature&#39;s power.",,0,1,,,https://www.planesculptors.net/upload/5734/16049/Mechanical%20Cuckoo.jpg,White,
Mynoreis Stalker,CW05,1W,,Artifact Creature,Cat,common,Flash,"Travel through the Mynoreis Wasteland is dangerous, and not just because of the icy chill.
",3,1,,http://static02.mediaite.com/themarysue/uploads//2014/01/big5part51-640x437.jpg,https://www.planesculptors.net/upload/5734/16049/Mynoreis%20Stalker.jpg,White,FALSE
Namekkos Paragon,RW02,2w,,Artifact Creature,Treefolk Warrior,rare,"Lifelink
Whenever you gain life, you may put that many +1/+1 counters on target creature you control. Do this only once each turn.",&quot;&quot;I stand for a free future for all of Namekkos.&quot;&quot;,2,3,,,https://www.planesculptors.net/upload/5734/16049/Namekkos%20Paragon.jpg,White,
Nesting Songbird,CW02,W,,Artifact Creature,Bird,common,"Clockwork 1 (This creature enters with 1 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Flying
Whenever you remove one or more counters from Nesting Songbird, create that many 1/1 white Thopter artifact creature tokens with flying.",,0,1,,,https://www.planesculptors.net/upload/5734/16049/Nesting%20Songbird.jpg,White,
Owlin Tinkerer,CW04,1w,,Artifact Creature,Bird Artificer,common,"Flying, lifelink
At the beginning of your end step, if you gained 3 or more life this turn, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,1,2,,,https://www.planesculptors.net/upload/5734/16049/Owlin%20Tinkerer.jpg,White,
Particular Pixie,RW03,2w,,Artifact Creature,Faerie Artificer,rare,"Flying
At the beginning of your end step, if two or more differently named artifacts entered under your control this turn, draw a card.","&quot;&quot;No, no, that&#39;s too similar to last week&#39;s model!&quot;&quot;",3,2,,,https://www.planesculptors.net/upload/5734/16049/Particular%20Pixie.jpg,White,
Recommission,CW19,1w,,Sorcery,,common,"Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. If a creature enters this way, it enters with an additional +1/+1 counter on it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Recommission.jpg,White,
Reconfigure,UW11,2w,,Instant,,uncommon,"Choose one or both —
• Exile target creature you control.
• Exile target noncreature artifact you control.
Then return the exiled cards to the battlefield under their owners’ control.",,,,,,https://www.planesculptors.net/upload/5734/16049/Reconfigure.jpg,White,
Resources of the Empire,MW03,6w,,Enchantment,,mythic,"At the beginning of each end step, create a 2/2 white Drone artifact creature token with vigilance.
You may tap an untapped creature you control rather than pay the {t} cost of activated abilities of noncreature artifacts you control.",,,,,,https://www.planesculptors.net/upload/5734/16049/Resources%20of%20the%20Empire.jpg,White,
Scouting Party,CW08,2w,,Artifact Creature,Scout,common,"When Scouting Party enters, create a 1/1 white Thopter artifact creature token with flying.","Kosmen’s ingenuity allowed for ever faster intelligence gathering and materiel delivery, but they still needed to return to base at regular intervals, or else they’d be absorbed into the local avian population.",1,2,,,https://www.planesculptors.net/upload/5734/16049/Scouting%20Party.jpg,White,FALSE
Strength Through Unity,CW17,3w,,Instant,,common,Untap target creature. It gets +2/+2 and gains first strike until end of turn.,All of the Kosmengeve Empire are aligned towards a singular goal.,,,,,https://www.planesculptors.net/upload/5734/16049/Strength%20Through%20Unity.jpg,White,
Surveillance Drone,CW10,1ww,,Artifact Creature,Drone,common,"Whenever another Drone you control enters, put a +1/+1 counter on Surveillance Drone.
A deck can have any number of cards named Surveillance Drone.","Kosmen sends its drones across Namekkos in search of ever more information about its enemies and their vulnerabilities.
",1,1,,,https://www.planesculptors.net/upload/5734/16049/Surveillance%20Drone.jpg,White,FALSE
Tame Pteranodon,CW09,2w,,Artifact Creature,Dinosaur,common,"Flying
Whenever Tame Pteranodon attacks, another target attacking creature you control gains flying until end of turn.","Most thunderbeasts are too stubborn to tame, but their winged cousins can often be convinced with enough treats.",2,2,,,https://www.planesculptors.net/upload/5734/16049/Tame%20Pteranodon.jpg,White,
Urbka Sentry,CW06,1w,,Artifact Creature,Warrior,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
{1}{W}: Urbka Sentry gains vigilance until end of turn.",,0,1,,,https://www.planesculptors.net/upload/5734/16049/Urbka%20Sentry.jpg,White,FALSE
Adaptive Clockwork,RU03,3U,,Artifact Creature,Shapeshifter,rare,"You may have Adaptive Clockwork enter as a copy of any artifact or creature on the battlefield, except it&#39;s an artifact in addition to its other types. If that permanent had counters on it, Adaptive Clockwork enters with that number and kind of counters on it.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Adaptive%20Clockwork.jpg,Blue,FALSE
Anima Reclaimer,UU06,2uu,,Artifact Creature,Ape Artificer,uncommon,"{u}, {t}, Sacrifice Anima Reclaimer: Counter target spell unless its controller pays {3}.
Whenever a spell you control is countered, add mana equal to its mana cost. (Mana cost includes color.)",,3,3,,,https://www.planesculptors.net/upload/5734/16049/Anima%20Reclaimer.jpg,Blue,
Artinan Aeronaut,RU02,2u,,Artifact Creature,Artificer,rare,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Flying
When Artinan Aeronaut enters, create a Scrap token.
Whenever one or more +1/+1 counters are put on Artinan Aeronaut, draw a card, then discard a card.",,0,1,,,https://www.planesculptors.net/upload/5734/16049/Artinan%20Aeronaut.jpg,Blue,
Artinan Surveyor,CU08,4u,,Artifact Creature,Bird Scout,common,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Flying
Whenever you cast a noncreature spell, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,0,1,,,https://www.planesculptors.net/upload/5734/16049/Artinan%20Surveyor.jpg,Blue,
Assembly Order,CU14,3uu,,Instant,,common,"Draw three cards, then discard a card. If you discard an artifact card this way, create a 1/1 white Thopter artifact creature token with flying.",,,,,,https://www.planesculptors.net/upload/5734/16049/Assembly%20Order.jpg,Blue,
Chromeshell Tortoise,RU04,3uu,,Artifact Creature,Turtle,rare,"Ward {3}
Whenever Chromeshell Tortoise becomes the target of a spell or ability, you may pay {3}. If you do, copy that spell or ability and choose new targets for it.",,3,4,,,https://www.planesculptors.net/upload/5734/16049/Chromeshell%20Tortoise.jpg,Blue,
Cliffside Pterosaur,CU04,2u,,Artifact Creature,Dinosaur,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Flying",Don’t let the unstable footing distract you from the threats overhead in the Sonkoso Pass.,1,1,,,https://www.planesculptors.net/upload/5734/16049/Cliffside%20Pterosaur.jpg,Blue,
Comm-Line Interference,CU16,1u,,Instant,,common,Target creature gets -4/-0 until end of turn. Its controller mills four cards.,&quot;&quot;Hello? Hello?&quot;&quot;,,,,,https://www.planesculptors.net/upload/5734/16049/Comm-Line%20Interference.jpg,Blue,
Conscript into the World Mind,RU06,U,,Instant,,rare,Counter target artifact or creature spell. It&#39;s controller creates a 2/2 white Drone artifact creature token with vigilance.,"What the Kosmengeve Empire doesn’t destroy, it absorbs.
",,,,,https://www.planesculptors.net/upload/5734/16049/Conscript%20into%20the%20World%20Mind.jpg,Blue,
Corrosive Winds,CU11,1u,,Enchantment,Aura,common,"Enchant creature
At the beginning of each upkeep, if enchanted creature is untapped, tap it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Corrosive%20Winds.jpg,Blue,FALSE
Council&#39;s Dismissal,UU10,1u,,Instant,,uncommon,"Return target nonland permanent to its owner&#39;s hand. If that permanent had counters on it, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,,,,,https://www.planesculptors.net/upload/5734/16049/Councils%20Dismissal.jpg,Blue,
Counsel of Vyst,CU17,2u,,Sorcery,,common,"As an additional cost to cast this spell, sacrifice X Scraps.
Scry X, then draw two cards.",,,,,,https://www.planesculptors.net/upload/5734/16049/Counsel%20of%20Vyst.jpg,Blue,FALSE
Curious Cephalopod,CU09,4u,,Artifact Creature,Octopus,common,"When Curious Cephalopod enters, you may sacrifice a Scrap token. If you do, draw a card, then discard a card. Otherwise, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)","&quot;&quot;Best to throw it junk occasionally, or else it starts poking on board the ships.&quot;&quot;",3,5,,,https://www.planesculptors.net/upload/5734/16049/Curious%20Cephalopod.jpg,Blue,
Disable,CU13,1u,,Instant,,common,"Counter target nonartifact spell.
Surveil 1 (Look at the top one cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Disable.jpg,Blue,FALSE
Dissociate,CU12,2u,,Instant,,common,"Return target spell to its owner&#39;s hand.
If this is the second spell you&#39;ve cast this turn, you may shuffle Dissociate into its owner&#39;s library.",,,,,,https://www.planesculptors.net/upload/5734/16049/Dissociate.jpg,Blue,
Distributed Intelligence,UU12,2U,,Sorcery,,uncommon,"Each player reveals the top card of their library. For each land card revealed this way, create a Treasure token. For each nonland card revealed this way, draw a card.","Kosmen&#39;s network of comm-lines crisscross northern Terle, giving it near-instant contact with any part of its empire.",,,,,https://www.planesculptors.net/upload/5734/16049/Distributed%20Intelligence.jpg,Blue,FALSE
Enlightened Crafter,RU01,1u,,Artifact Creature,Artificer,rare,"You may look at the top card of your library any time.
Once each turn, as long as you control three or more artifacts, you may cast an artifact, instant, or sorcery card from the top of your library.",,2,1,,,https://www.planesculptors.net/upload/5734/16049/Enlightened%20Crafter.jpg,Blue,
Gator Baiter,CU07,3u,,Artifact Creature,Ape Druid,common,"When Gator Baiter enters, create a 3/3 green Beast artifact creature token with trample.","The apes have a mutualistic relationship with the local predators: the predators get easy prey delivered, and the apes get a kick out of it.",1,1,,,https://www.planesculptors.net/upload/5734/16049/Gator%20Baiter.jpg,Blue,
Geflug Snapper,UU05,3u,,Artifact Creature,Turtle,uncommon,"Whenever an artifact you control enters, you may switch Geflug Snapper&#39;s power and toughness until end of turn.","To a snapper, all problems look like wires.",1,4,,,https://www.planesculptors.net/upload/5734/16049/Geflug%20Snapper.jpg,Blue,
Geflug Sneak,CU05,2u,,Artifact Creature,Otter,common,"Whenever Geflug Sneak or another artifact you control enters, target player mills two cards. This ability triggers only once each turn.",,2,3,,,https://www.planesculptors.net/upload/5734/16049/Geflug%20Sneak.jpg,Blue,
Gift of Anima,CU03,1u,,Enchantment,Aura,uncommon,"Enchant artifact
As Gift of Anima enters, put five +1/+1 counters on enchanted artifact.
Enchanted artifact is a creature with base power and toughness 0/0 in addition to its other types. If it doesn’t have clockwork, it has clockwork. (Whenever it becomes tapped, remove a +1/+1 counter from it at end of turn.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Gift%20of%20Anima.jpg,Blue,
Halt Order,UU09,2U,,Instant,,uncommon,"Counter target artifact spell.
Draw a card.",A clockmaker&#39;s least favorite tele-missive may be &quot;&quot;I regret to inform you that the funding for your project has been cut.&quot;&quot;,,,,,https://www.planesculptors.net/upload/5734/16049/Halt%20Order.jpg,Blue,FALSE
Imlau the Dreamer,MU01,3uuu,Legendary,Artifact Creature,Sphinx,mythic,"Flying
Whenever Imlau the Dreamer deals combat damage to a player, search your library for a card, exile it face down, then shuffle. An opponent guesses its mana value. Reveal it. If they guessed wrong and it has a different mana value than each other card revealed with Imlau the Dreamer, put it into your hand.",,4,5,Trav James,https://img00.deviantart.net/7d1d/i/2014/258/a/8/scrying_sphinx_by_travjames-d7zau93.jpg,https://www.planesculptors.net/upload/5734/16049/Imlau%20the%20Dreamer.jpg,Blue,
Infinity Clock,MU02,2u,,Artifact,,mythic,"Clockwork 1
{T}: Add {u}.
{u}, {t}, Remove 10 charge counters from Infinity Clock and sacrifice it: Shuffle your hand and graveyard into your library, then draw seven cards. Take an extra turn after this one.",It doesn&#39;t just tell time; it tells time what to do.,,,,,https://www.planesculptors.net/upload/5734/16049/Infinity%20Clock.jpg,Blue,
Lock Out,CU19,Uu,,Sorcery,,common,"Tap target artifact or creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Lock%20Out.jpg,Blue,
Lost in the Depths,CU18,1u,,Sorcery,,common,"Target player mills three cards.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Lost%20in%20the%20Depths.jpg,Blue,
Owlin Fledgling,CU06,3u,,Artifact Creature,Bird,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever you cast your second spell each turn, put a +1/+1 counter on Owlin Fledgling. It gains flying until the start of your next turn.
",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Owlin%20Fledgling.jpg,Blue,
Pilfering Pixie,UU02,1u,,Artifact Creature,Faerie Artificer,uncommon,"Flying
Pilfering Pixie can block only creatures with flying.
Whenever Pilfering Pixie deals combat damage to an opponent, if an opponent controls more permanents than you, draw a card.",,2,1,,,https://www.planesculptors.net/upload/5734/16049/Pilfering%20Pixie.jpg,Blue,
Pirated Plans,RU08,2u,,Sorcery,,rare,"Draw two cards, then discard a card. When you discard a card with clockwork this way, put its counters on target artifact or creature you control.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Pirated%20Plans.jpg,Blue,
Port Inspector,CU02,1u,,Artifact Creature,Pirate,common,"When Port Inspector enters, draw a card, then discard a card.
Skulk (This creature can&#39;t be blocked by creatures with greater power.)","&quot;&quot;Gotta make sure all the paperwork&#39;s in order, eh?&quot;&quot;",2,1,,,https://www.planesculptors.net/upload/5734/16049/Port%20Inspector.jpg,Blue,
Read the Room,UU08,2uu,,Instant,,uncommon,"When you cast this spell, copy it for each creature you control. You may choose new targets for the copies.
Counter target spell unless its controller pays {1}.","He was met with disbelieving stares when he claimed he saw the stranger remove its own skull. But at the assertion that it was soft inside, he was laughed right out of the room.",,,,,https://www.planesculptors.net/upload/5734/16049/Read%20the%20Room.jpg,Blue,
Replicating Menace,RU07,1u,,Instant,,rare,"Choose target nonlegendary artifact or creature. The next time one or more artifacts enter this turn, they enter as copies of the chosen permanent.",,,,,,https://www.planesculptors.net/upload/5734/16049/Replicating%20Menace.jpg,Blue,
Resonance Dispersal,CU15,2u,,Instant,,common,"Return target artifact or creature to its owner&#39;s hand. If this is the second spell you&#39;ve cast this turn, its owner puts it on the top or bottom of their library instead.",,,,,,https://www.planesculptors.net/upload/5734/16049/Resonance%20Dispersal.jpg,Blue,
Shiny Diver,UU04,2u,,Artifact Creature,Dinosaur,uncommon,"Flying
Whenever another creature you control leaves the battlefield, if it had one or more cards encoded on it, you may exile Shiny Diver. If you do, return one of those cards to its owner&#39;s hand.",,2,2,,,https://www.planesculptors.net/upload/5734/16049/Shiny%20Diver.jpg,Blue,
Silver Raven,CU01,u,,Artifact Creature,Bird,common,"Flying
When Silver Raven enters, scry 1.",Wings take flight on whispered wind.,1,1,,,https://www.planesculptors.net/upload/5734/16049/Silver%20Raven.jpg,Blue,
Temmar&#39;s Ascension,MU03,XXUU,,Sorcery,,mythic,"Search your library for an artifact card with mana value X or less, exile it, then shuffle. You may reveal an artifact card you own from outside the game and/or choose a face-up artifact card you own in exile with mana value X or less. You may cast one of those cards without paying its mana cost. Put any cards not cast this way into your hand.",,,,,,https://www.planesculptors.net/upload/5734/16049/Temmars%20Ascension.jpg,Blue,
Terosev Scuttler,UU01,U,,Artifact Creature,Crab,uncommon,"Whenever a creature blocked by Terosev Scuttler this turn dies, put a +1/+1 counter on Terosev Scuttler.",It decorates it shell with scraps from ships that never reach the other side.,0,4,,,https://www.planesculptors.net/upload/5734/16049/Terosev%20Scuttler.jpg,Blue,FALSE
Terosev Serpent,UU07,4u,,Artifact Creature,Serpent,uncommon,"Clockwork 5 (This creature enters with 5 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
As an additional cost to cast this spell, sacrifice an artifact.
When Terosev Serpent leaves the battlefield, return target artifact with mana value 4 or less from your graveyard to your hand.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Terosev%20Serpent.jpg,Blue,
Terror of Ettero,CU10,5uu,,Artifact Creature,Serpent,common,"Clockwork 6 (This creature enters with 6 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
This spell costs {1} less to cast for each instant and sorcery card in your graveyard and each instant and sorcery card you own in exile.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Terror%20of%20Ettero.jpg,Blue,
Unwinding Drone,UU03,1U,,Artifact Creature,Drone,uncommon,{T}: Untap another target artifact or creature.,Its only business is to deal with others&#39;.,1,2,,,https://www.planesculptors.net/upload/5734/16049/Unwinding%20Drone.jpg,Blue,FALSE
"Venser, Questing Shaper",RU05,2u,Legendary,Planeswalker,Venser,rare,"Flash
[+1]: Tap or untap target permanent you control, then you tap or untap target permanent an opponent controls.
[-2]: Return target spell or nonland permanent to its owner&#39;s hand. You may activate this ability any time you could cast an instant.",,,2,,,https://www.planesculptors.net/upload/5734/16049/Venser%20Questing%20Shaper.jpg,Blue,
Voidwalk,UU11,3u,,Sorcery,,uncommon,"Exile target creature. Return it to the battlefield under its owner’s control at the beginning of the next end step.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Voidwalk.jpg,Blue,
Anima Extractor,UB07,3bb,,Artifact Creature,Vampire Artificer,uncommon,"Flying
Clockwork 4 (This creature enters with 4 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever Anima Extractor deals damage to a creature, tap that creature and put a +1/+1 counter on Anima Extractor.",,1,0,,,https://www.planesculptors.net/upload/5734/16049/Anima%20Extractor.jpg,Black,
